연번,작가,부문,명제,제작년도,규격
1132,Jeffry Surianto,사진,Rainbow,2011,68.8x103.1
1133,Jeffry Surianto,사진,Island,2011,49.4x74.3
1134,Jeffry Surianto,사진,Volcano,2011,49.4x74.3
1135,Jeffry Surianto,사진,Valley,2011,68.8x103.1
1136,Jeffry Surianto,사진,Waterfall,2011,74.3x49.4
1137,Jeffry Surianto,사진,Beach,2011,49.4x74.3
1138,Jeffry Surianto,사진,Children-1,2011,49.4x74.3
1139,Jeffry Surianto,사진,Children-2,2011,49.4x74.3
1140,Jeffry Surianto,사진,Tiger,2011,74.3x49.4
1141,Jeffry Surianto,사진,Boys,2011,59.7x39.3
1142,Juwani Yapriadi,사진,Portrait,2011,49.4x74.3
1143,Juwani Yapriadi,사진,Sea,2011,49.4x74.3
1144,지석철,회화,"시간, 기억 그리고 존재",2011,110x157.8
1145,최붕현,회화,대지 위에서,1996,61x73
1146,안현일,회화,잔상,2005,244x333
1147,이경석,회화,인간흔적,1976,60x45
1148,허종하,회화,한글작업 - 0512,2005,122x194
1149,박춘성,회화,고향,1999,162.2x130.3
1150,조경옥,회화,주변 이야기,2002,123x245
1151,정도준,서예,화의(和議),2011,185x143
1152,김진희,서예,그리운 순천만(박원자님 시),2010,92x300
1153,김종원,서예,취의(醉意),2009,180x504
1154,윤효석,서예,사색공부,2009,90x349
1155,곽봉련,서예,금강반야바라밀경,1990,115x520
1156,윤관석,서예,김극기선생전가사시구,2010,240x90
1157,정대병,서예,제자들과 함께(吉再先生詩 卽事),2011,117x20
1158,이수희,서예,다산시 매조도,2011,80x260
1159,곽정우,서예,심여칭(心如秤),2011,35x48
1160,박순하,서예,금강경(金剛經),2012,127x33 8폭
1161,박정식,서예,이순신장군의 검명(李舜臣將軍劒銘),2008,196x34 2폭
1162,허인수,서예,장가행(長歌行),2011,156x123
1163,박지석,서예,하해불택세류(河海不擇細流),2008,115x31
1164,"뮌(김민선, 최문선)",영상,멘쉡스트롬(Menschenstrom),2011,300x300x150
1165,육근병,영상,생존은 역사다,2009,32x32x210
1166,류재하,영상,오리-물고기,2003,77x231x25
1167,이이남,영상,인왕제색도,2009,124x72x3
1168,김형기,영상,나는 빛이다,2009,200x200x160
1169,이상원,영상,달리다,2010,가변설치
1170,Nicolas Moulin,영상,나치다치(Nachdatch),2007,가변설치
1171,백남준,영상,무제,1991,273x55.7x55.7
1172,차우용,한국화,해암,2002,166x129
1173,변상봉,한국화,공 바라밀다,1980,152.5x459.8
1174,샘 프란시스,판화,무제,,43.5x56
1175,앙트완 부르델,판화,백조와 누드,,15x20
1176,마르크 샤갈,판화,정연,1980,41x33
1177,로버트 롱거,판화,무제(Ⅲ),1990,64.5x100
1178,세자르 발다치니,판화,육면체,,87x61.5
1179,로버트 인디에나,판화,피카소,,48x40
1180,백남준,판화,Novecent Red,,33x41.5
1181,백남준,판화,무제,,52.5x68
1182,황인학,조각,군상,1982,36.5x360
1183,김종영,조각,작품78-25,1978,74x39x19
1184,박생광,한국화,파초,1960,106x45
1185,김진성,조각,사랑,1989,55x50x50
1186,김진성,조각,이상한 가방Ⅱ,1989,35x80x30
1187,김진성,조각,적막,1989,40x60x30
1188,김진성,조각,무제,1989,46x120x60
1189,이두옥,회화,디지털이미지,2002,162.2x130
1190,이두옥,회화,정물B,1980,145x112.5
1191,이두옥,회화,사(寺),1979,161x120
1192,이두옥,회화,환절기,2009,80x53 4ea
1193,정문현,회화,여일(지리산 下),1984,260x445
1194,정문현,회화,연(우리는 여기 영원히),1984,260x445
1195,김창락,회화,고향의 봄,1985,196x623
1196,김구,한국화,또 다른 봄,2010,200x65 10폭
1197,김동규,회화,바다Ⅰ,2000,130x162
1198,남정현,회화,무제,1998,130x91
1199,서홍원,한국화,역,1994,114x174
1200,박장길,회화,밤과 꿈,2008,197x259
1201,허기태,회화,해와 달,1995,118x168
1202,하차연,뉴미디어,스위트 홈4,2009,"16:9, 450x253"
1203,성재휴,한국화,산수,1960,34x69
1204,성재휴,한국화,생동,1970,189x127.5
1205,권여현,회화,바늘구멍,1996,162.2x130.3
1206,권순철,회화,얼굴,2002,162x120
1207,정상화,판화,무제(Untitleed),1978,185x96
1208,박생광,한국화,초충도(나비와 나리꽃),1960,45x48.5
1209,박생광,한국화,화조도 10곡 병풍,1973,138x33.5x10
1210,이우환,회화,With Wind,1991,228x182
1211,박석원,조각,핸들 - 우주,2006,175x175x50
1212,정상복,회화,미술시간,1930,27x35
1213,박생광,한국화,딱다구리,1960,53.5x45
1214,박생광,한국화,복숭아,1970,45.5x69
1215,성재휴,한국화,산수,1960,62x64.6
1216,이 준,회화,달밤/하늘,1964,158x127
1217,백성근,조소,Floating picnic,2010,63x50x2
1218,하태홍,회화,어떤 아이의 이야기,1980,97x145.5
1219,유택렬,회화,무제,1967,50x60.6
1220,정상복,회화,금강산,1997,45x70
1221,정원식,회화,아리랑-I,2010,162x130
1222,권여현,회화,깔때기,1996,162.2x130.3
1223,권순철,회화,관악산,2011,260x90
1224,정상복,회화,석양,1958,19x27
1225,이목일,회화,사랑을 찾아서,2014,130x162
1226,윤병석,회화,정,1988,72.7x60.6
1227,김홍석,회화,당간지주,1991,97x130.5
1228,김종원,서예,문수사 장경비,2014,210x150
1229,김종수,회화,고(古),1999,165x106
1230,박생광,한국화,목어와 나비,1970,56x41
1231,하인두,회화,구성,1988,116.8x72.7
1232,이두옥,회화,불(佛)-Ⅱ,1982,145x122
1233,이두옥,회화,불국사 소견-Ⅰ,1978,145x123
1234,이두옥,회화,불국사 소견-Ⅱ,1979,112.5x145
1235,이두옥,회화,불국사 소견-Ⅲ,1979,112x145
1236,이두옥,회화,디지털 이미지,2003,117x91cm x3개
1237,정상돌,회화,마산항,1990,27.3x45.5
