연번,작가,부문,명제,제작년도,규격
247,이종빈,조각,생각하는 나무,2003,220×240×290
248,김청정,판화,들녁2,1970,49x48.5
249,김청정,판화,무제,1980,6x6
250,하인두,회화,상,1950,38.5x46
251,황인학,드로잉,소,1985,53x38
252,마코토 아오키,회화,항적,2003,130x187
253,마코토 아오키,회화,항적,2003,130X195
254,곽인식,판화,작품-D,1983,58X39.5
255,석영기,판화,매조,1995,40.5X28
256,홍정희,회화,추상,1980,52X44.5
257,이존수,회화,자연과 인간,1981,52X44
258,안영일,판화,무제,1970,37X41
259,이철수,판화,만월,1999,40X47
260,황규응,회화,풍경,1998,18X26
261,하종현,회화,접합,1995,25X34
262,최영림,판화,물고기,1960,27×35.5
263,야요이 쿠사마,판화,레몬스퀘시,1999,57X46
264,임직순,드로잉,무제,1972,24×34
265,기무라 코우스케,판화,Pierrot,1980,34X48.5
266,이융세,회화,,1982,63.5X63.5
267,김원백,드로잉,生-2,1982,50X39
268,김원숙,회화,벌목,1990,42X60
269,히사유키 모가미,한국화,,1998,69×49
270,허황,회화,가변의식(可變意識),1979,37.5X61
271,양달석,회화,나무꾼,1950,70.5×50.5
272,황호섭,회화,무제,1985,34X40
273,안종연,회화,물고기,1992,27X28
274,추연근,회화,비상,1992,23X16
275,문신,드로잉,무제,1980,29X21.5
276,이원희,회화,신옥진 초상,1996,53X45
277,김진정,한국화,head-무상,2003,208×145×3
278,이강소,판화,untitled,1997,194.5×124
279,이강소,판화,untitled,1997,124.5×225
280,이강소,판화,untitled,1997,125×194.5
281,이우환,판화,In milano,1992,150x90/5
282,박생광,한국화,금산사의 추녀,1983,136x137
283,남관,회화,무제,1988,163x130
284,김화경,한국화,혹서의 휴식처,1972,119×119
285,김영기,한국화,수세미,1973,88X92
286,이강소,회화,UNTITLED92187,1992,194×258.5
287,이강소,회화,강가에서99225,1999,259X194
288,이우환,판화,출항지,1991,130.5x199
289,이우환,판화,FROM LINE,1981,28X34/12
290,이우환,판화,FROM POINT,1977,40X54/8
291,이우환,판화,도시의 기억,1989,60X80/6
292,이한우,회화,십장생,2003,130.3X162.2
293,성재휴,한국화,동자와 황소,1966,65x128
294,조중현,한국화,소,1976,100x131
295,공타,회화,겨울이야기,2004,197X333
296,노춘석,회화,매화,2004,194X518
297,이임호,회화,욕지도 하누리,2004,180X720
298,박현효,회화,청암에 살다,2004,260X324
299,김형근,회화,한려수도,1983,200x500
300,백광익,회화,오름위에 부는 바람 별,2005,162X259
301,곽덕준,회화,사회-벽화,1995,217x332
302,김영주,회화,신화시대,1991,130x162
303,전수창,회화,달중의 달,1989,130x162
304,이존수,회화,선험적이미지,1988,97x162
305,강정완,회화,사랑의 저력,1992,130x162
306,윤병석,회화,모정(meternal affection),1996,188x185
307,류시원,회화,풍경,2005,145.5x112.1
308,권순철,회화,얼굴,1990,162x130
309,정상화,회화,"작품5-A,B",1971,162x260
310,하종현,회화,접합03-13,2003,195x260
311,김재규,회화,영(影),1970,145x97
312,박생광,한국화,십장생도,1969,30x653
313,조영제,회화,촉석루-여름,1950,58x88
314,이림,회화,념(念),1970,97x77
315,이림,회화,향(鄕),1972,97x77
316,홍영표,회화,지리산,1978,79.5x115
317,박기태,회화,인물,2005,100x68.5
318,안상철,한국화,황홍모란분재,1985,79x115
319,안상철,한국화,목련분재,1987,48.5x120
320,박성규,회화,정(情),1989,89x145.5
321,이병석,회화,심상-바람이 머무는 곳,2003,112x162
322,이달우,회화,그리고 M2 78-2,1977,162x130
323,김안영,한국화,어락도,1979,165x135
324,심명보,회화,The Rose,1997,131x260
325,박찬갑,조각,아리랑,2004,15×40×90×2
326,한인성,조각,소망,1991,210x180x70
327,노재황,판화,붉은 수련,1992,50X70
328,노재황,판화,자작나무1,1992,50X70
329,노재황,판화,자작나무2,1992,50X70
330,최현칠,공예,가족,1991,15X180X60
331,김재규,회화,만선,1995,97X162
332,후쿠모토 마사노리,공예,장식향로,2000,28x19x41
333,쯔지타 테루유키,공예,향로,2000,13x13x24
334,쯔지타 테루유키,공예,향로,2000,13x13x22
335,쯔지타 테루유키,공예,백자용문향합,2000,8x8x4
336,이병석,회화,산정무한(바람이 불어오는 곳),1980,96x130
337,정문현,회화,하이얀 새,1980,99x99
338,박장화,한국화,송학,1980,180x450
339,최태문,한국화,귀로,1987,68x134
340,안재덕,회화,시골소녀,1980,60x72
341,박순흔,회화,토기의 환상,1990,130x162
342,김철성,한국화,하일한색,1990,168x132
343,이태길,회화,축제,1990,37x44
344,김춘옥,한국화,자연에서,1997,70x88
345,전혁림,공예,접시,1970,32x32x4
346,한인성,조각,결실,1997,28x20x72
347,진종만,공예,백자달항아리,1990,32x32x32
348,진종만,공예,샙장생문매병,1990,27x27x41
349,박생광,한국화,가락왕릉도,1960,21.5x121.5
350,박충검,한국화,89무제,1989,54x89
351,조순호,한국화,숲,2005,142x171
352,박대성,한국화,산수,1978,174x163
353,정덕상,한국화,해묵금강산,1975,35x113x2
354,박충검,한국화,하도,2000,61x72.5
355,박생광,한국화,탐라실경,1950,45x57
356,박생광,한국화,청룡도,1980,40x60
357,박생광,한국화,진주성 서장대,1979,69x47
358,변관식,한국화,기명절지,1958,119x56
359,박인현,한국화,우산-박연폭포,2007,179.5x120
360,이상갑,회화,해녀,1957,162.5x130.3
361,강국진,회화,가락87-3,1987,227x182
362,이림,회화,정물,1957,46x32
363,김홍석,회화,개폐,1981,115.5x70.5
364,이상갑,회화,복숭아,1936,31.8x40.9
365,유택렬,회화,작품 60-L,1960,97x162.2
366,송혜수,회화,추상1,1965,60x80
367,현재호,회화,시장만찬,1990,120x310
368,하종현,회화,접합 2002.39,2002,260x194
369,정문규,회화,상(象),1963,162.2x112.2
370,정진윤,회화,노래하는화가L형,1987,160x130
371,송혜수,회화,추상2,1965,60x72
372,이실구,회화,무제,1997,130.3x162.1
373,배기준,회화,풍경,1980,38x45.5
374,한기주,회화,WORK-A Gap,2005,232x127
375,김동권,회화,겨울,1970,33.5x24.5
376,김홍석,회화,발아,1991,60x72
377,이우환,회화,Form Line,1983,45.5x53
378,정문현,회화,토질,1967,160x130
379,조영제,회화,촉석루-봄,1950,41x71
380,박길웅,회화,흔적,1974,31x40
381,김태호,회화,내재율 2004-6,2004,162.8x131
382,이강소,회화,from an island,2007,72.7x91
383,조영제,회화,촉석루-가을,1950,47x72.5
384,조영제,회화,촉석루-겨울,1950,48x63.5
385,백순공,회화,무제-일상의 사유,2004,117.5x182
386,오영재,회화,풍중목련,1974,43x32
387,하태홍,회화,옛이야기,1975,130x130
388,김종영,조각,WORK 67-5,1967,76X18X9
389,김영원,조각,중력 무중력,1989,203X31X33
390,정무길,조각,뽀뽀,2001,49X40X20
391,한진섭,조각,복덩이 가족,2007,사방 3m설치
392,손현욱,조각,모자상,2007,사방 5m설치
393,한진섭,조각,복덩이 가족,2007,사방 3m설치
394,김경,판화,소,1957,38x64
395,이용길,판화,마른고기(건어),1960,26x36.5
396,채경혜,판화,광상곡9929,1999,105x304
397,김용식,판화,영원과 한계,2005,100x70
398,김종영,드로잉,나무가 있는 풍경,1971,41.5x30
399,김성수,공예,장식장1.음양,2007,160x46x66
400,구자홍,공예,공간,2007,100x140
401,민영기,공예,도도야 다완,2006,6x15x15.6
402,배종태,공예,大 정호다완,2002,9x15.5
403,송승화,공예,다완,2007,8x14.5
404,황동구,공예,이도 차사발,2006,9x15.7
405,최웅택,공예,이도 다완,2007,7.5x15.5
406,안신향,공예,은하수,2004,7.5x14.6
407,최규옥,공예,분청 귀양문 다완,2007,7.6x16.3x16.2
408,박생광,한국화,고루도,1950,34x44
409,박생광,한국화,금강산보덕암도,1960,126x32
410,강국진,회화,무제1,1964,130x192
411,이마이즈미 켄지,회화,EA03-182-Draw,2003,162x130
412,미쯔유키 요코,회화,평화2003-E,2003,162x130
413,야마조에 코지,회화,풍경-신기루,2004,60x91
414,야카조에 코지,회화,풍경-수기,2004,60x91
415,우다가와 노리토,회화,X2005-1,2005,130c162
416,휴고 바스티다스,회화,검은 웅덩이,2005,203x203
417,김주석,회화,자연과인간,1964,119x83
418,길성,공예,이도다완,2003,9x15.5
419,안홍관,공예,김해명다완,2007,9x11.5
420,박주옥,공예,달무리,2007,8.7x13.3
421,강국진,판화,Jan-58,1972,39x59.5
422,강국진,판화,Jan-57,1972,39x59.5
423,강국진,판화,situation9-1,1973,31x47
424,강국진,판화,situation9-9,1973,31x47
425,강국진,판화,a nation,1972,30.8x36.7
426,강국진,판화,무제,1972,36x33
427,강국진,판화,무제,1973,30.8x36
428,강국진,판화,무제8-23,1973,31x47
429,강국진,판화,무제8-19,1973,31x47
430,강국진,판화,무제8-4,1973,31x47
431,강국진,판화,a nation,1972,24x37.2
432,강국진,판화,41-23,1972,35.4x24.9
433,강국진,판화,10-38,1973,15x15
434,강국진,판화,Buddha,1972,30.8x36.5
435,강국진,판화,마당놀이1,1970,37.8x32
436,강국진,판화,마당놀이2,1970,36.2x30.2
437,강국진,판화,각시,1973,11.9x11.7
438,강국진,판화,burning,1976,40.5x55.5
439,강국진,판화,burning,1976,40.5x55.5
440,강국진,판화,130-2,1978,24x31
441,강국진,판화,rythme176-1,1983,45.5x60.9
442,강국진,판화,224-1,1987,42x57
443,강국진,판화,223-5,1987,42x60
444,강국진,판화,228,1987,42x58
445,강국진,판화,222-2,1987,60X45
446,강국진,판화,234,1987,43.5X57.5
447,강국진,판화,44,1980,45.5x61.5
448,강국진,판화,45,1980,45.5x61.5
449,강국진,판화,46,1987,45x59
450,강국진,판화,197-3,1987,33.5x43
451,강국진,판화,빛의흐름190-4,1986,40x45
452,강국진,판화,193-4,1987,36.5x39.5
453,강국진,판화,194-3,1987,30x39.5
454,강국진,판화,192-6,1986,33x45
455,강국진,판화,빛의흐름191-10,1986,38x44
456,강국진,판화,213-1,1987,44.5x59.5
457,강국진,판화,203-2,1987,45.5x59.5
458,강국진,판화,203-8,1987,45.5x59.5
459,강국진,판화,,1987,43x58.5
460,강국진,판화,217,1987,60x45.5
461,강국진,판화,221-2,1987,59.5x45
462,강국진,판화,220-2,1987,45x59.5
463,강국진,판화,238-2,1987,60x45.5
464,강국진,판화,230,1987,55x42
465,강국진,판화,224-2,1987,42x57
466,강국진,판화,195-3,1987,30.3x39.5
467,강국진,판화,225-1,1987,45.8x60.2
468,강국진,판화,,1987,59.5x42.5
469,강국진,판화,리듬167-3,1981,45.2x65
470,강국진,판화,,1987,43x58
471,강국진,판화,빛의흐름189-2,1985,43.5x58.5
472,강국진,판화,179-6,1984,45.5x62
473,강국진,판화,180-3,1984,45x62
474,강국진,판화,177-2,1983,43.5x58.5
475,강국진,판화,리듬85-2,1985,44x58.5
476,강국진,판화,187-3,1985,48x62
477,강국진,판화,212,1987,45.5x60.2
478,강국진,판화,46,1980,50.5x66
479,강국진,판화,237-1,1987,45x60
480,강국진,판화,219,1987,57.8x44.2
481,강국진,판화,204-1,1987,60.5x45
482,강국진,판화,204-3,1987,60.5x45
483,강국진,판화,198-2,1987,33.5x45
484,강국진,판화,215-3,1987,57.8x44.2
485,강국진,판화,209-2,1987,45x59
486,강국진,판화,226-3,1987,45.5x60
487,강국진,판화,208-1,1987,45x60
488,강국진,판화,207-2,1987,57.5x44
489,강국진,판화,,1987,45x58.5
490,강국진,판화,리듬80-30,1980,35.7x42
491,강국진,판화,리듬80-31,1980,40x50
492,강국진,판화,리듬81-12,1981,45.2x61
493,강국진,판화,리듬81-9,1981,45.7x61.5
494,강국진,판화,리듬188-1,1985,42x58.3
495,강국진,판화,리듬81-5,1981,45.5x61
496,강국진,판화,리듬82-4,1982,45.5x60.2
497,강국진,판화,리듬82-3,1982,45.5x60
498,강국진,판화,리듬81-7,1981,45.7x60.5
499,강국진,판화,texture76-E,1976,45.5x58.8
500,강국진,판화,,1976,48x61
501,강국진,판화,선100-1,1979,35x30.5
502,강국진,판화,,1979,30.5x36
503,강국진,판화,shape X,1976,43.5x57
504,강국진,판화,shape81-25,1976,43.5x57
505,강국진,판화,shape81-7,1976,43.5x57
506,강국진,판화,shape,1976,43.5x58.4
507,강국진,판화,Feb-82,1976,27x35
508,강국진,판화,rose 1,1976,27x35
509,강국진,판화,rose 2,1976,27x35
510,강국진,판화,Jul-83,1976,27x35
511,강국진,판화,브러싱 95-1,1976,23x33
512,강국진,판화,브러싱 93-6,1976,27x35
513,강국진,판화,브러싱91-2,1976,27x35
514,강국진,판화,브러싱 94-5,1976,23x34
515,강국진,판화,브러싱92-1,1976,27x35.5
516,강국진,판화,271-4,1976,28x41
517,강국진,판화,256-2,1988,24x14.5
518,강국진,판화,254,1988,24.5x14
519,강국진,판화,259,1988,14.5x24
520,강국진,판화,258-2,1988,23.5x13
521,강국진,판화,리듬88-3,1988,14x23
522,강국진,판화,261-2,1988,23.8x14
523,강국진,판화,리듬88-4,1988,13x23
524,강국진,판화,Jul-77,1975,34.5x50
525,강국진,판화,Jan-78,1975,34.5x50
526,강국진,판화,Jan-60,1975,22.5x32.5
527,강국진,판화,Feb-61,1975,22.5x39.5
528,강국진,판화,Jan-62,1972,22.5x33
529,강국진,판화,modern art gallery,1980,15.5x9
530,강국진,판화,Feb-67,1975,34x41.5
531,강국진,판화,129-2,1978추정,24x31
532,강국진,판화,128-5,1978추정,24x31
533,강국진,판화,128-2,1978추정,24x31
534,강국진,판화,127-1,1978추정,24x31
535,강국진,판화,de la mer,1978,37.5x21.5
536,강국진,판화,deux femmes,1977,30.3x36.5
537,강국진,판화,le matin,1978,30.5x38.5
538,강국진,판화,,1985,45.7x60.8
539,강국진,판화,182-1,1985,45.7x60.8
540,강국진,판화,183-1,1985,45.7x60.8
541,강국진,판화,184-1,1985,45.7x60.8
542,강국진,판화,185-1,1985,45.7x60.8
543,강국진,판화,dots 1,1976,27x35
544,강국진,판화,dots 2,1976,24.3x30.3
545,강국진,판화,dots 5,1976,22x30
546,강국진,판화,Jan-54,1980,27x39.5
547,강국진,판화,브러싱,1976,36.4x47
548,강국진,판화,,1980,39.3x40.2
549,강국진,판화,Feb-34,1974,19.5x30
550,강국진,판화,리듬83-10,1983,29.4x39
551,강국진,판화,리듬83-7,1983,29.5x39.4
552,강국진,판화,Jan-63,1975,30.2x37
553,강국진,판화,Feb-42,1974,27x39.3
554,강국진,판화,"가락,뫼81-8",1981,39.5x49
555,강국진,판화,리듬81-3,1981,39.3x60
556,강국진,판화,165-7,1982,39.5x49
557,강국진,판화,리듬81-2,1978,39x58
558,강국진,판화,가락81,1981,38x59
559,강국진,판화,리듬81-10,1981,39.5x49
560,강국진,판화,리듬81-10,1981,39.5x49
561,강국진,판화,제목확인,1985,29x19
