작품명(한글),작품명(영문),크기,재질,작가(한글),작가(영문),국적,제작년월,설치장소,작품출처,작품이미지
무제,Untitled,2.7X0.7X2.7 (m),알루미늄,"보테로, 제르맨",Botero-Germain,콜롬비아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0074.jpg
어린 날의 추억,Childhood memories,3.7X1.6X2.2 (m),"철, 알루미늄","브리토 아베야나, 마리아",Brito Avellana-Maria,쿠바,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0095.jpg
자화상,Self-portrait,H 2.4 (m),청동,"닉슨, 존",Nixon-John,오스트레일리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0078.jpg
디나 볼츠,Dina bolts,1.9X1.1X2.0 (m),"철, 시멘트","루셀, 클로드",Roussel-Claude,캐나다,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0085.jpg
유언,Testimony,1.6X1.0X2.5 (m),"스테인레스 스틸, 철","베셀리, 알레스",Vesely-Ales,체코슬로바키아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0096.jpg
아야쿠초를 봄,View to Ayacucho,1.6X1.6X2.5 (m),청동,"산체스, 파비안",Sanchez-Fabian,페루,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0076.jpg
마구수루 제단,Alter Macousourou,1.8X0.6X0.8 (m),대리석,"라라인, 에밀리오",Larrain-Emilio,페루,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0086.jpg
무제,Untitled,1.2X0.4X2.0 (m),철,핑 밍,Ping Ming,중국,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0098.jpg
성장과 번영,Growth and prosperity,0.7X0.7X3.4 (m),합성수지,"소에기조, 그레고리우스 싯다르타",Soegijo-Gregorius Sidharta,인도네시아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0097.jpg
여정,The steps,0.5X0.5X2.0 (m),구리,"칸, 하미두자만",Khan-Hamiduzzaman,방글라데시,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0087.jpg
"상자, 상자들","Boxes, boxes",0.4X0.3X1.8 (m),청동,"카라할리오스, 코스타",Karahalios-Kosta,그리스,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0088.jpg
아프리카-희망,Africa-hope,2.7X0.8X3.1 (m),콘크리트,"아하이, 폴",Ahyi-Paul,토고,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0099.jpg
모비딕-신념을 쥐고 있는 형상,Moby dick-afigure holding fate,9.0X11.0X4.9 (m),나무,"클라만, 그르제고르즈",Klaman-Grzegorz,폴란드,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0101.jpg
코끼리 인간,Elephant man,0.5X0.5X1.5 (m),청동,"판 헤이동크, 폴",Van Hoeydonk-Paul,벨기에,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0089.jpg
나의 하늘 구멍 85-2,My sky hole 88-4,4.0X0.3X0.7 (m),철,"이노우에, 부키치",Inoue-Bukichi,일본,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0100.jpg
나는 나의 애인을 원해,I want my beloved,1.7X0.5X2.2 (m),합성수지,"타나볼리, 파르비츠",Tanavoli-Parviz,이란,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0102.jpg
매,The falcon,3.0X0.8X2.0 (m),"합성수지, 세라믹","데 기마라에스, 조세",De Guimaraes-Jose,포르투칼,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0103.jpg
영원을 향한 3,Tree to infinity,0.6X0.6X3.6 (m),"철, 세라믹, 청동","오웬, 로버트",Owen-Robert,오스트레일리아,1988-09-30,남2문 ,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0128.jpg
풍경을 위한 석재빔,Stone beam for Landscape,1.4X1.0X2.8 (m),화강암,"소렌젠, 요르겐 호겐",Sorensen-Jorgen Haugen,덴마크,1988-09-30,남2문 주차장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0120.jpg
기와를 입은 대지,Land with eastern tiles,15.0X8.0X5.0 (m),한식 기와,이승택,"Lee, Seung-teak",대한민국,1988-09-30,남2문 앞,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0139.jpg
트라이 토템,Tritotem,1.2X1.2X9.0 (m),철,"페냐, 롤란도",Pena-Rolando,베네수엘라,1988-09-30,남2문 앞,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0137.jpg
초대 받은 사람,Person invired,2.95X1.65X5.0 (m),"화강암, 청동",이종빈,"Lee, Jong-bin",대한민국,1998-09-30,경륜장 인근,10주년 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0123.jpg
초상화,Portrait,1.5X0.7X2.0 (m),"철, 콘크리트",응 엥 텡,Ng Eng Teng,싱가포르,1988-09-30,3체육관 앞,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0114.jpg
변신,Metamophosis,10.0X4.0X4.0 (m),알루미늄,"네그레트, 에드가",Negret-Edgar,콜롬비아,1988-04-30,우리금율아트홀 주변,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0145.jpg
VW를 위한 선 또는 선을 위한 VW,Zen for VW or VW for zen,4.0X1.8X8.5 (m),혼합 재료,"보스텔, 볼프",Vostell-Wolf,독일,1988-09-30,3체육관 앞,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0140.jpg
통일성,Unity,3.0X4.3X4.1 (m),청동,"홀, 나이젤",Hall-Nigel,영국,1988-04-30,한얼교 앞,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0149.jpg
관계항-예감 속에서,Relatum-by omen,14.0X15.0X2.3 (m),"철, 화강암",이우환,"Lee, U-hwan",대한민국,1988-04-30,한얼교 앞,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0152.jpg
위장지,Impersonation station,9.8X13.0X9.0 (m),"스테인레스 스틸, 콘크리트","오펜하임, 데니스",Oppenheim-Dennis,미국,1988-04-30,만남의 광장,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0142.jpg
떨어지는 것은 날아오른다,What falls is flying,4.0X2.5X4.5 (m),"철, 유리",강은엽,"Kang, Eun-yup",대한민국,1988-09-30,만남의 광장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0141.jpg
딘 딘댕동,Din : ding-dang-dong,1150x1230x520(cm),철,"헬리어, 나이젤",Helyer-Nigel,오스트레일리아,1988-04-30,만남의 광장,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0136.jpg
무제,Untitled,3.2X3.2X6.0 (m),화강암,"구즈만, 알베르토",Guzman-Alberto,페루,1987-09-30,남2문 주차장,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0115.jpg
매달린 자연,Hanging nature,6.0X6.0X8.0 (m),스테인리스 스틸,홍성도,"Hong, Seong-do",대한민국,1998-09-01,3체육관 인근,10주년 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0125.jpg
